patent_number,patent_date,patent_title,patent_abstract,assignee_organization,assignee_key_id
10178838,2019-01-15,Soybean variety 5PQNG18,"The invention relates to the soybean variety designated 5PQNG18. Provided by the invention are the seeds, plants and derivatives of the soybean variety 5PQNG18. Also provided by the invention are tissue cultures of the soybean variety 5PQNG18 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 5PQNG18 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10178843,2019-01-15,Variety corn line KCJ6586,"The present invention provides an inbred corn line designated KCJ6586, methods for producing a corn plant by crossing plants of the inbred line KCJ6586 with plants of another corn plant. The invention further encompasses all parts of inbred corn line KCJ6586, including culturable cells. Additionally provided herein are methods for introducing transgenes into inbred corn line KCJ6586, and plants produced according to these methods.",Syngenta Participations AG,21021
10181160,2019-01-15,Systems and methods for assigning damage caused by an insurance-related event,"Methods and systems for assigning damage to a property to causes of loss are provided. A smart home controller and/or an insurance provider remote processor (or server) may generate a time sequence of events for damage associated with an insure-related event. The time-sequence of events may be analyzed to identify causes of loss associated with damage to the property. The smart home controller or insurance provider remote processor may further analyze the time-sequence of event to determine a portion of the overall damage associated with each cause of loss. Subsequently, according to certain aspects, the smart home controller or insurance provider remote processor may automatically generate a prepopulated insurance claim for damage associated with the insurance-related event, and/or transmit the automatically prepared insurance claim to an insured for their review, approval, and/or modification, such as via wireless communication to a mobile device associated with the insured.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10181161,2019-01-15,Autonomous communication feature use,"Methods and systems for determining collision risk associated with operation of autonomous vehicles using autonomous communication are provided. According to certain aspects, autonomous operation features associated with a vehicle may be determined, including features associated with autonomous communication between vehicles or with infrastructure. This information may be used to determine collision risk levels for a plurality of features, which may be based upon test data regarding the features or actual collision data. Expected use levels and autonomous communication levels may further be determined and used with the collision risk levels to determine a total collision risk level associated with operation of the vehicle. The autonomous communication levels may indicate the types of communications, the levels of communication with other vehicles or infrastructure, or the frequency of autonomous communication.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10185327,2019-01-22,Autonomous vehicle path coordination,"Methods and systems for communicating between autonomous vehicles are described herein. Such communication may be performed for signaling, collision avoidance, path coordination, and/or autonomous control. Several communications from autonomous vehicles may be received at a computing device, where the autonomous vehicles are travelling within a threshold distance of each other. Each communication may include an indication of the next waypoint on a route for the respective vehicle. The computing device may analyze the communications to determine maneuvers for the autonomous vehicles so that each autonomous vehicle may navigate to the corresponding waypoint in the least amount of time or distance. The computing device also may cause each of the autonomous vehicles to move in accordance with the maneuvers for the respective vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10185997,2019-01-22,Accident fault determination for autonomous vehicles,"Methods and systems for determining fault for an accident involving a vehicle having one or more autonomous (and/or semi-autonomous) operation features are provided. According to certain aspects, operating data from sensors within or near the vehicle may be used to determine the occurrence of a vehicle accident, such as a collision. The operating data may further be used to determine an allocation of fault for the accident between a vehicle operator, the autonomous operation features, or a third party. The allocation of fault may be used to adjust risk levels or profiles associated with the vehicle operator or with the autonomous operation features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10185998,2019-01-22,Accident fault determination for autonomous vehicles,"Methods and systems for determining fault for an accident involving a vehicle having one or more autonomous (and/or semi-autonomous) operation features are provided. According to certain aspects, operating data from sensors within or near the vehicle may be used to determine fault for a vehicle accident, such as a collision. The operating data may include information regarding use of the features at the time of the accident and may further be used to determine an allocation of fault for the accident between a vehicle operator, the autonomous operation features, or a third party. The allocation of fault may be used to determine and/or adjust coverage levels for an insurance policy associated with the vehicle. The allocation of fault may further be used to adjust risk levels or profiles associated with the vehicle operator or with the autonomous operation features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10185999,2019-01-22,Autonomous feature use monitoring and telematics,"Methods and systems for monitoring use and determining risk associated with operation of autonomous vehicles are provided. According to certain aspects, autonomous operation features associated with a vehicle may be determined, and operating data regarding vehicle operation may be obtained. The operating data may include information regarding use levels or settings associated with use of the autonomous operation features. Risk levels associated with the features may be determined from test data or actual loss data. The risk levels and operating data may be used to determine a total risk level associated with operation of the vehicle with expected use levels of the autonomous operation features. The total risk level may further be used to determine or adjust aspects of an insurance policy associated with the vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10186134,2019-01-22,Sensor data to identify catastrophe areas,"A computer-implemented method for generating an automated response to a catastrophic event, that includes (1) analyzing a sample set of data generated in association with a catastrophic event to determine a threshold pattern; (2) receiving, with customer permission or affirmative consent, home sensor data from a smart home controller via wireless communication or data transmission, the home sensor data including data regarding at least one of (i) structural status; (ii) wind speed; (iii) availability of electricity; (iv) presence of water; (v) temperature; (vi) pressure; and/or (vii) presence of pollutants in the air and/or water; (3) determining, based upon or from computer analysis of the home sensor data, whether the home sensor data indicates a match to the threshold pattern; and (4) automatically generating a response if the home sensor data indicates a match to the threshold pattern. As a result, catastrophic events and responses thereto may be improved through usage of a remote network of home sensors.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10192445,2019-01-29,Systems and methods for determining a vehicle is at an elevated risk for an animal collision,"Methods and systems for displaying a user interface that warns a driver that a vehicle is located within or is near a geographical area (and/or intersection) associated with a higher than average risk of animal-vehicle and/or vehicle-vehicle collisions are provided. According to certain aspects, an electronic device may access a database that identifies a plurality of high risk areas, including areas associated with prior vehicle accidents. The electronic device may display a virtual road map, as well as an icon indicating the vehicle's current location and a plurality of visual indications of high-risk areas. When the electronic device detects that the current location of the vehicle is within and/or approaching a high-risk area, the electronic device may then warn the driver about the higher than average risk of experiencing a vehicle collision.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10194614,2019-02-05,Soybean variety 01064567,"The invention relates to the soybean variety designated 01064567. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064567. Also provided by the invention are tissue cultures of the soybean variety 01064567 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064567 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10194616,2019-02-05,Soybean variety 01064568,"The invention relates to the soybean variety designated 01064568. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064568. Also provided by the invention are tissue cultures of the soybean variety 01064568 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064568 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10204518,2019-02-12,System for identifying high risk parking lots,"Systems and methods are disclosed for identifying high risk parking lots. High risk parking lots may be, for example, parking lots that pose a higher than average risk of collisions and/or theft. Auto insurance claim data may be analyzed to identify hazardous areas. A virtual navigation of roads within the hazardous area may be identified. Public parking lots within the virtual navigation map may be defined, with each public parking lot determined as either in a hazardous area or not. A vehicle may be determined to be approaching or parking in a parking lot in a hazardous area, and a nearby public parking lot not associated with the hazardous area may be selected instead. A route from a current position to the nearby public parking lot may be generated, and the vehicle may be routed to the nearby public parking lot. As a result, collisions and thefts may be reduced.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10210575,2019-02-19,System and method of using an image object as a visual data container,"A method and system for associating information regarding an object with image objects is disclosed, wherein each image object is a visual data containers including an image associated with the object and data items relating to the object. A user may interact with a graphical user interface to create, modify, and associate image objects by means of the associated images. Information regarding the objects may be associated therewith by means of the image objects, and image objects may be associated with other image objects to generate associations between information regarding the underlying objects. Information regarding other image objects or the associated image may be used to determine information regarding the object, which may be associated with the image object. In some embodiments, associating two or more image objects may associate the underlying objects for purposes of insurance policies or may generate a new insurance policy based on the image objects.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10215573,2019-02-26,Using train telematics data to reduce accident risk,"A computer system configured to use train telematics data may be mounted on or within an autonomous vehicle, and which may be configured to (1) receive train telematics data associated with a train that includes GPS location, speed, route, heading, acceleration, and/or track data; (2) determine, based upon the train telematics data, when, or a time period of when, the train will pass through, be passing through, and/or be within a predetermined distance of a railroad crossing; (3) determine an alternate route for the autonomous vehicle to take to avoid waiting at the railroad crossing; and (4) direct the autonomous vehicle to automatically travel along the alternate route or automatically stop at the railroad crossing to allow the train to pass unimpeded and to facilitate avoidance of train-vehicle collisions. Insurance discounts may be generated based upon the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10216194,2019-02-26,Using emergency response system (EMS) vehicle telematics data to reduce accident risk,"A computer system configured to use emergency response system (EMS) vehicle telematics data to reduce risk of accidents may be configured to (1) receive, when the EMS vehicle is en route to an emergency location, the EMS vehicle telematics data associated with the EMS vehicle and including GPS location, speed, route, heading, acceleration, and/or lane data; (2) determine that a current route of an autonomous vehicle will interfere with the route of the EMS vehicle; (3) determine an alternate route for the autonomous vehicle to avoid interfering with the route of the EMS vehicle; and (4) direct the autonomous vehicle to (i) travel along the alternate route or (ii) pull over to a side of a road on the current route to allow the EMS vehicle to pass unimpeded. Insurance discounts may be generated based upon the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10217068,2019-02-26,Systems and methods for pre-scheduling repair of home equipment,"A method and system may automatically detect failures and pre-schedule repairs for home equipment in a smart home environment when the property owner is away from the property. A smart home controller may receive sensor data from each of several pieces of home equipment to detect whether any failures have occurred. If the smart home controller detects a failure in one of the pieces of home equipment based on the sensor data, the smart home controller may communicate with a repair service provider to pre-schedule a repair of the piece of home equipment which experiences the failure. The repair service provider may then transmit a pre-scheduled time and cost for performing the repair and may perform the repair at the scheduled time.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10222228,2019-03-05,System for driver's education,"Systems and methods are disclosed for educating vehicle drivers. Auto insurance claim data may be analyzed to identify hazardous areas associated with an abnormally high amount or severity of vehicle collisions. A virtual navigation map of roads within the hazardous areas may be built or generated. A common cause of several vehicle collisions at a hazardous area may be identified, and a virtual reconstruction of a scenario involving the common cause and/or a road map of collisions locations of may be created. The virtual reconstruction of the scenario may be displayed on a driver education virtual simulator to enhance driver education and reduce the likelihood of vehicle collisions.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10223479,2019-03-05,Autonomous vehicle operation feature evaluation,"Methods and systems for testing the operation of autonomous or semi-autonomous operation features in a virtual test environment are provided. Computer-executable instructions for implementing the features may be received and executed on a test device. Test input signals may be presented to software routines associated with the features, which may generate output signals including control commands. The output signals may be used to predict the response of a vehicle in the virtual test environment, which may include a simulation of vehicle responses to the output signals. Measures of the effectiveness of the features may be determined based upon the predicted responses of the vehicle, which may then be used to determine risk levels associated with the features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10223603,2019-03-05,"Apparatuses, systems, and methods for determining when a vehicle occupant is using a mobile telephone","Apparatuses, systems and methods are provided for determining when a vehicle occupant is using a mobile telephone. More particularly, apparatuses, systems and methods are provided for determining when a vehicle occupant is using a mobile telephone based on digital image data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10223752,2019-03-05,Assessing risk using vehicle environment information,"A method includes receiving vehicle sensor data from a second vehicle via one or more wireless signals. The vehicle sensor data is collected by a sensor that is located on or in the second vehicle and configured to sense an environment external to the second vehicle. The vehicle sensor data is received at an electronic processing system, and stored in a memory. A set of one or more characteristics of the environment external to the first vehicle is determined by processing the stored vehicle sensor data, and a risk indicator is determined based on the set of one or more characteristics, a risk indicator. An insurance rating for an insurance policy associated with the first vehicle is determined based on the risk indicator.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10223845,2019-03-05,System and method for separating ambient gravitational acceleration from a moving three-axis accelerometer data,A method based on separating ambient gravitational acceleration from a moving three-axis accelerometer data for determining a driving pattern is presented. A server may receive telematics data originating from a client computing device and combine the telematics data. The server may estimate a gravitational constant to the combined telematics data and generate a function for pitch and a roll angle from the combined telematics data. The server may further determine a driving pattern using at least the pitch and the roll angle.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10226002,2019-03-12,Soybean variety 01057408,"The invention relates to the soybean variety designated 01057408. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01057408. Also provided by the invention are tissue cultures of the soybean variety 01057408 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01057408 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10227003,2019-03-12,Systems and methods for notifying individuals who are unfit to operate vehicles,"Systems and methods for improving vehicular safety are provided. According to certain aspects, an electronic device may receive and analyze image data depicting an individual located within a vehicle. The electronic device may also access certain data related to a condition of the individual, and may accordingly determine whether the individual is fit to operate the vehicle. If the individual is unfit to operate the vehicle, the electronic device may generate and display a notification that warns of the dangers of operating the vehicle and encourages the individual to not operate the vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10228046,2019-03-12,Electric linear actuator having planetary gear arrangement,"An electric linear actuator is provided. The electric linear actuator may have a cylinder housing, an electric motor disposed inside the cylinder housing, a piston rod at least partially slidably disposed inside the cylinder housing, and a planetary gear arrangement disposed inside the cylinder housing and configured to connect the electric motor to the piston rod. The planetary gear arrangement may have a ring gear integrally connected to the piston rod. The electric motor, the planetary gear arrangement, and the piston rod may be disposed in series along a central axis of the cylinder housing.",Caterpillar Inc.,143058
10228318,2019-03-12,Tactile sensor system and method for inspecting the condition of a structure,"In a computer-implemented method and system for capturing the condition of a structure, the structure is scanned with a three-dimensional (3D) scanner. The 3D contact scanner includes a tactile sensor system having at least one tactile sensor for generating 3D data points based on tactile feedback resulting from physical contact with at least part of the structure. A 3D model is constructed from the 3D data and is then analyzed to determine the condition of the structure.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10229394,2019-03-12,Systems and methods for sending diagnostic information during scheduling of home equipment repair,"A method and system may automatically detect failures and send diagnostic information when scheduling home equipment repairs in a smart home environment. A smart home controller may receive sensor data from each of several pieces of home equipment to detect whether any failures have occurred. If the smart home controller detects a failure in one of the pieces of home equipment based on the sensor data, the smart home controller may communicate diagnostic information for the piece of home equipment experiencing the failure to a repair service provider to schedule a repair.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10229447,2019-03-12,System and method for predicting and presenting a cross-sell product,"A method and apparatus may predict a cross-sell product to be presented to a customer. For example, the method and apparatus may communicate a plurality of questions to a customer via a computer network relating to an insurance product. The method and apparatus may receive a customer information and use the customer information to calculate a price quote for the insurance product. The method and apparatus may query a database containing information relating to the insurance product and receive customer information from the database. The method and apparatus may then determine whether the customer information or database information is indicative of a second product. If it is determined that the customer information or the customer database information is indicative of the second product, the method and apparatus may identify the second product as a potential cross-sale product, generate a message presenting the second product and display the message.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10231110,2019-03-12,Crash detection and severity classification system implementing emergency assistance,"A crash detection system is disclosed that utilizes a mobile computing device to detect a vehicular accident via one or more sensors integrated into the mobile computing device. The system monitors the sensor metrics measured by one or more sensors and generates an event sensor profile that may include the plurality of sensor metrics and additional status data, such as an indication of whether the mobile computing device was located within a vehicle when the event occurred. By comparing the plurality of sensor metrics to other crash sensor metrics, a determination may be made whether the event requires emergency assistance, which may be confirmed by determining whether the data included in the event sensor profile meets one or more exception conditions. If the event requires emergency assistance and an exception condition is not met, the mobile computing device may place a call to the appropriate emergency response personnel.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10231398,2019-03-19,Soybean variety 01057400,"The invention relates to the soybean variety designated 01057400. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01057400. Also provided by the invention are tissue cultures of the soybean variety 01057400 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01057400 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10231408,2019-03-19,Soybean variety 01064013,"The invention relates to the soybean variety designated 01064013. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064013. Also provided by the invention are tissue cultures of the soybean variety 01064013 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064013 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10233679,2019-03-19,Systems and methods for control systems to facilitate situational awareness of a vehicle,"Systems and methods for control systems for facilitating situational awareness of a vehicle are provided. Sensors located around a stationary vehicle may detect moving objects that pose potentially dangerous situations for the vehicle occupants and for the object. This can cause the doors to lock automatically in order to make the situation safer. Additionally, electromagnetic radiation sensors located around the vehicle may detect the lights and sounds of emergency vehicles. If the electromagnetic data from the electromagnetic radiation sensors match a known pattern of electromagnetic data emitted by emergency vehicles stored in a library an alarm may be sounded through the speakers of the vehicle in order to alert the vehicle occupants of an emergency vehicle in the vicinity.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10235228,2019-03-19,Method and system for detecting system outages using application event logs,"Methods, systems, apparatus, and non-transitory computer readable media are described for detecting system outages using application event logs. Various aspects may include obtaining several prior application event logs where the status of the system is known at the time the application event logs were recorded. Additionally, various aspects may include determining characteristics of prior application event logs which were recorded during a system outage, and/or determining characteristics of prior application event logs which were recorded while the system was available. When current application event logs are obtained where the status of the system is unknown at the time the current application event logs are recorded, various aspects include comparing the current application event logs to the prior application event logs to determine that a system outage has occurred based upon the comparison.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10235859,2019-03-19,Systems and methods for the mitigation of drowsy or sleepy driving,"Systems and methods for mitigating drowsy and/or sleepy driving may include utilizing vehicle-related and wellness-related telematics to detect and/or predict drowsy and/or sleepy driving states of a driver of a vehicle and take mitigating actions to thereby increase the safety of the driver and other people and/or vehicles in the vicinity of the driver's vehicle. Vehicle-related telematics data and wellness-related telematics data (which may include sleep data) may be collected via sensors that disposed on-board the vehicle, in the vehicle's environment, and at a personal health/fitness tracker of the driver. The collected data may be collectively interpreted to detect, predict, and/or otherwise discover information relating to a drowsy and/or sleepy state of the driver, and one or more mitigating actions may be automatically performed based on the discovered information to thereby mitigate undesirable effects of drowsy/sleepy driving and increase driving safety.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10238057,2019-03-26,Soybean variety 01064461,"The invention relates to the soybean variety designated 01064461. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064461. Also provided by the invention are tissue cultures of the soybean variety 01064461 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064461 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10238059,2019-03-26,Soybean variety 01064460,"The invention relates to the soybean variety designated 01064460. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064460. Also provided by the invention are tissue cultures of the soybean variety 01064460 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064460 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10239538,2019-03-26,Managing self-driving behavior of autonomous or semi-autonomous vehicle based upon actual driving behavior of driver,"A system and method for measuring a driver's actual driving behaviors (e.g., acceleration, deceleration) in a manual driving mode to determine their preferred driving style, and then causing an autonomous or semi-autonomous vehicle to operate itself, within limits, in accordance with the drivers' driving style when operating in a self-driving mode, thereby providing a more familiar and comfortable driving experience for the driver. Data is collected on the actual driving behavior, any pre-existing data is accessed on the actual driving behavior, and the collected data and the pre-existing data are combined. A custom control is then created based upon the combined data, and the custom control is applied to manage the self-driving behavior of the autonomous or semi-autonomous vehicle in a self-driving mode. Additional data continues to be collected on the actual driving behavior, and the custom control is adjusted based upon the collected additional data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10241201,2019-03-26,Subsurface imaging system and method for inspecting the condition of a structure,"In a method and system for inspecting the condition of a structure, the structure is scanned with a three-dimensional (3D) scanner. The 3D scanner includes a sensing system having one of a radar sensing device or an ultrasonic detection device. The sensing system detects 3D information about a subsurface of the structure, and the 3D scanner generates 3D data points based on the information detected by one or more of the radar sensing device and the ultrasonic detection device. A 3D model is constructed from the 3D data and is then analyzed to determine the condition of the subsurface of the structure.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10241509,2019-03-26,Autonomous vehicle control assessment and selection,"A computer-implemented method for operating an autonomous or semi-autonomous vehicle may include identifying a vehicle operator and retrieving an associated vehicle operator profile. Operating data regarding operation of the autonomous or semi-autonomous vehicle may be received that includes data from sensors disposed within the vehicle. When a request to enable an autonomous operation feature is received, (i) autonomous operation risk levels associated with vehicle operation by the autonomous operation feature based upon the received operating data, and (ii) operator risk levels associated with vehicle operation by the vehicle operator based upon the vehicle operator profile are determined. Autonomous operation feature enablement may be allowed based upon a comparison of (i) autonomous operation risk levels with (ii) operator risk levels. As a result, only safe autonomous feature engagement may be facilitated, and risk averse vehicle owners may receive insurance discounts based upon this safe autonomous feature engagement functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10242274,2019-03-26,"Apparatuses, systems and methods for determining degrees of risk associated with a vehicle operator","Apparatuses, systems and methods are provided for determining vehicle operator risk. More particularly, apparatuses, systems and methods are provided for determining degrees of vehicle operator risk. A degree of vehicle operator risk may be based on digital image data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10242275,2019-03-26,Systems and methods for associating vehicle operators with driving misses indicated in vehicle operation data,"Systems and methods for assessing vehicle operation are provided. According to certain aspects, an electronic device may receive and analyze image data depicting an individual located within a vehicle. The electronic device may also access and compile vehicle operation data and operator data corresponding to a state or condition of the vehicle operator. The electronic device may identify, from the vehicle operator data, a set of close misses experienced by the vehicle, correlate the set of close misses with a state or condition of the vehicle operator, and attribute at least some of the close misses to the vehicle operator. A remote server may aggregate and compile corresponding data from a plurality of vehicles.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
